Domain, vgvsc, vcpl
20.803,1.0050909929,1.00513329141
20.804,1.00488781433,1.00492790772
20.805,1.0046915804,1.00473028399
20.806,1.00450200424,1.00454085814
20.807,1.0043190334,1.00435789703
20.808,1.00414257202,1.00418015428
20.809,1.00397232671,1.00400833207
20.81,1.00380798281,1.00384338812
20.811,1.00364938883,1.00368477705
20.812,1.0034964729,1.00353125437
20.813,1.00334906388,1.00338258298
20.814,1.00320690021,1.00323943982
20.815,1.00306977924,1.00310198715
20.816,1.00293759918,1.00296947548
20.817,1.00281025058,1.00284128187
20.818,1.00268754578,1.00271757882
20.819,1.00256928427,1.00259870553
20.82,1.00245533188,1.00248441165
20.821,1.00234559338,1.00237412142
20.822,1.00223993836,1.00226764023
20.823,1.00213819897,1.00216517228
20.824,1.00204022966,1.0020667477
20.825,1.00194592872,1.00197201825
20.826,1.00185519631,1.00188065842
20.827,1.00176790281,1.00179266551
20.828,1.0016839125,1.00170813043
20.829,1.00160311724,1.00162691605
20.83,1.00152542805,1.00154873812
20.831,1.00145074465,1.00147345518
20.832,1.00137895212,1.00140109836
20.833,1.00130994458,1.00133164372
20.834,1.00124363569,1.00126491228
20.835,1.00117994258,1.00120072326
20.836,1.00111877183,1.00113902643
20.837,1.00106002787,1.00107982048
20.838,1.00100362711,1.0010230175
20.839,1.00094949565,1.00096846483
20.84,1.00089755682,1.00091606303
20.841,1.00084772887,1.00086578709
20.842,1.00079993425,1.0008175967
20.843,1.0007541045,1.00077138908
20.844,1.00071017417,1.00072705677
20.845,1.00066807472,1.00068454516
20.846,1.00062773735,1.0006438243
20.847,1.00058909887,1.00060483224
20.848,1.00055210124,1.00056747937
20.849,1.00051668648,1.00053169606
20.85,1.00048279536,1.00049744482
20.851,1.00045037094,1.00046468531
20.852,1.00041936086,1.00043335264
20.853,1.00038971499,1.00040337878
20.854,1.00036138281,1.00037471733
20.855,1.00033431434,1.00034733414
20.856,1.00030846249,1.00032118382
20.857,1.00028378311,1.00029620962
20.858,1.00026023288,1.00027236249
20.859,1.0002377686,1.00024960745
20.86,1.00021634859,1.00022791007
20.861,1.00019593365,1.00020722662
20.862,1.00017648619,1.00018751192
20.863,1.0001579691,1.00016872987
20.864,1.00014034601,1.00015085047
20.865,1.00012358224,1.00013384017
20.866,1.00010764489,1.00011766104
20.867,1.00009250197,1.00010227836
20.868,1.00007812205,1.00008766373
20.869,1.00006447477,1.00007378986
20.87,1.00005153122,1.00006062624
20.871,1.0000392637,1.00004814194
20.872,1.00002764511,1.00003630998
20.873,1.00001664911,1.00002510651
20.874,1.00000625043,1.00001450687
20.875,0.999996424941,1.00000448492
20.876,0.999987149294,0.999995016018
20.877,0.999978400756,0.999986078489
20.878,0.999970157371,0.999977651657
20.879,0.999962398139,0.99996971393
20.88,0.999955102886,0.999962243757
20.881,0.999948252049,0.999955221466
20.882,0.999941826668,0.999948629054
20.883,0.99993580853,0.999942448583
20.884,0.999930180184,0.999936661782
20.885,0.999924924802,0.999931251197
20.886,0.999920026084,0.999926200867
20.887,0.999915468308,0.999921495575
20.888,0.999911236402,0.999917120014
20.889,0.999907315891,0.999913059101
20.89,0.999903692791,0.999909298729
20.891,0.9999003536,0.999905825733
20.892,0.999897285341,0.999902627242
20.893,0.999894475572,0.999899690458
20.894,0.999891912315,0.999897003094
20.895,0.999889584016,0.999894553675
20.896,0.999887479549,0.999892331253
20.897,0.999885588242,0.999890325046
20.898,0.999883899853,0.99988852453
20.899,0.999882404518,0.999886919739
20.9,0.999881092739,0.999885501276
20.901,0.99978508233,0.990901513664
20.902,0.997991775952,0.964125057173
20.903,0.991337925429,0.950498982237
20.904,0.979944615918,0.961319404474
20.905,0.968076049864,0.969606665131
20.906,0.958894721699,0.953928514881
20.907,0.951161950649,0.929204379786
20.908,0.942354015496,0.921195799463
20.909,0.932926336383,0.928802034501
20.91,0.925533651287,0.929415122416
20.911,0.921027541196,0.914261872698
20.912,0.917434283139,0.899521941764
20.913,0.913071543918,0.900137539361
20.914,0.908856773403,0.90845014746
20.915,0.906593708126,0.907665554143
20.916,0.906163287816,0.896976299056
20.917,0.905794497417,0.890866901875
20.918,0.904689708748,0.89647265942
20.919,0.903966274133,0.904026537188
20.92,0.904744390777,0.902657334237
20.921,0.906444810901,0.896107813502
20.922,0.907728352417,0.89567080516
20.923,0.908435833886,0.903028150335
20.924,0.909624037712,0.90880595729
20.925,0.91185207495,0.907226207144
20.926,0.914377483588,0.904006830756
20.927,0.916322702155,0.906807963312
20.928,0.91791356576,0.913935043837
20.929,0.919995770574,0.917768515945
20.93,0.922714789421,0.916379077805
20.931,0.925355423479,0.915659707448
20.932,0.92744445835,0.919926294136
20.933,0.92938457062,0.925844192085
20.934,0.931756609109,0.928072646731
20.935,0.934445195004,0.927188072253
20.936,0.936869828489,0.928173916578
20.937,0.938863459364,0.932714437561
20.938,0.94085656013,0.937124762693
20.939,0.943179153757,0.938272559418
20.94,0.945588620334,0.938036498206
20.941,0.947679845244,0.940013618597
20.942,0.949484249295,0.94412011593
20.943,0.951370391726,0.947130111142
20.944,0.953469713233,0.947696998483
20.945,0.955511903836,0.948082616156
20.946,0.95726065205,0.950467957469
20.947,0.958850278955,0.953808337934
20.948,0.960547992274,0.955717579532
20.949,0.962352106606,0.956075598167
20.95,0.964026313854,0.956938468081
20.951,0.96546954315,0.959310491948
20.952,0.966847162573,0.961815553603
20.953,0.968321662129,0.962968086602
20.954,0.969819339209,0.963337114613
20.955,0.971166300243,0.964482472135
20.956,0.972353480061,0.966582440596
20.957,0.973531969263,0.968340586112
20.958,0.974777243787,0.969038217029
20.959,0.975990805066,0.96950823413
20.96,0.97706530238,0.970747329169
20.961,0.97804286411,0.972455788008
20.962,0.979038265721,0.973627390954
20.963,0.980066102616,0.974092224212
20.964,0.981033576707,0.974664994228
20.965,0.981889590296,0.975849866081
20.966,0.982695630068,0.977149520266
20.967,0.983525156778,0.977906838467
20.968,0.984357673135,0.978277468938
20.969,0.985121492097,0.978908880777
20.97,0.985805454754,0.979945542729
20.971,0.986469550763,0.980881804853
